"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",14872,0
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",12045,-6
"Kieran John Mullan","@KieranMullanUK","Conservative","Crewe and Nantwich",3612,1
"Khalid Mahmood","@khalid4PB","Labour","Birmingham, Perry Barr",5429,5
"Kevin Hollinrake ","@kevinhollinrake","Conservative","Thirsk and Malton",11308,4
"Kevin Foster ","@kevin_j_foster","Conservative","Torbay",7340,1
"Kevin Brennan ","@KevinBrennanMP","Labour","Cardiff West",24216,-3
"Kevan Jones ","@KevanJonesMP","Labour","North Durham",21262,0
"Kerry McCarthy ","@KerryMP","Labour","Bristol East",32239,1
"Kenny MacAskill","@KennyMacAskill","Scottish National Party","East Lothian",18862,-3
"Kemi Badenoch","@KemiBadenoch","Conservative","Saffron Walden",38001,-10
"Kelly Tolhurst ","@KellyTolhurst","Conservative","Rochester and Strood",14591,7
"Keir Starmer ","@Keir_Starmer","Labour","Holborn and St Pancras",1032035,868
"Katherine Fletcher","@K_Fletcher_MP","Conservative","South Ribble",2905,10
"Kate Osborne","@KateOsborneMP","Labour","Jarrow",8754,-2
"Kate Osamor ","@KateOsamor","Labour","Edmonton",34121,-10
"Kate Hollern ","@Kate_HollernMP","Labour","Blackburn",8041,0
"Kate Green ","@KateGreenSU","Labour","Stretford and Urmston",46136,6
"Karl Turner ","@KarlTurnerMP","Labour","Kingston upon Hull East",32365,1
"Karl McCartney ","@karlmccartney","Conservative","Lincoln",10607,61
"Karin Smyth ","@karinsmyth","Labour","Bristol South",11939,-5
"Karen Buck ","@KarenPBuckMP","Labour","Westminster North",17194,0
"Justin Tomlinson ","@JustinTomlinson","Conservative","North Swindon",20199,2
"Justin Madders ","@justinmadders","Labour","Ellesmere Port and Neston",23704,-1
"Julie Marson","@JulieMarsonMP","Conservative","Hertford and Stortford",3660,0
"Julie Elliott ","@JulieElliottMP","Labour","Sunderland Central",19891,-6
"Julian Sturdy","@JulianSturdy","Conservative","York Outer",1629,-1
